N   =   100
      approx:        exact:         arma:         relative error(log10)
      2.9930901      3.0000000      2.9930901     -2.6376477
      6.9653613      7.0000000      6.9653613     -2.3055359
      10.915248      11.000000      10.915248     -2.1132425
      14.842556      15.000000      14.842556     -1.9789645
      18.747085      19.000000      18.747085     -1.8757782
      22.628628      23.000000      22.628628     -1.7919189
      26.486974      27.000000      26.486974     -1.7212246
      30.321904      31.000000      30.321904     -1.6600703
      34.133190      35.000000      34.133190     -1.6061443
      37.920601      39.000000      37.920601     -1.5578825
      41.683894      43.000000      41.683894     -1.5141776
      45.422821      47.000000      45.422821     -1.4742168
      49.137123      51.000000      49.137123     -1.4373859
      52.826533      55.000000      52.826533     -1.4032096
      56.490774      59.000000      56.490774     -1.3713123
      60.129560      63.000000      60.129560     -1.3413920
      63.742591      67.000000      63.742591     -1.3132025
      67.329559      71.000000      67.329559     -1.2865401
      70.890140      75.000000      70.890140     -1.2612342
      74.424000      79.000000      74.424000     -1.2371411
      77.930788      83.000000      77.930788     -1.2141377
      81.410140      87.000000      81.410140     -1.1921184
      84.861675      91.000000      84.861675     -1.1709915
      88.284994      95.000000      88.284994     -1.1506772
      91.679679      99.000000      91.679679     -1.1311051
      95.045293      103.00000      95.045293     -1.1122130
      98.381374      107.00000      98.381374     -1.0939457
      101.68744      111.00000      101.68744     -1.0762539
      104.96298      115.00000      104.96298     -1.0590930
      108.20745      119.00000      108.20745     -1.0424230
      111.42029      123.00000      111.42029     -1.0262075
      114.60089      127.00000      114.60089     -1.0104132
      117.74861      131.00000      117.74861    -0.99500982
      120.86276      135.00000      120.86276    -0.97996922
      123.94262      139.00000      123.94262    -0.96526543
      126.98740      143.00000      126.98740    -0.95087429
      129.99627      147.00000      129.99627    -0.93677313
      132.96831      151.00000      132.96831    -0.92294062
      135.90256      155.00000      135.90256    -0.90935650
      138.79794      159.00000      138.79794    -0.89600143
      141.65329      163.00000      141.65329    -0.88285673
      144.46735      167.00000      144.46735    -0.86990424
      147.23871      171.00000      147.23871    -0.85712609
      149.96581      175.00000      149.96581    -0.84450449
      152.64691      179.00000      152.64691    -0.83202148
      155.28005      183.00000      155.28005    -0.81965860
      157.86299      187.00000      157.86299    -0.80739660
      160.39316      191.00000      160.39316    -0.79521489
      162.86757      195.00000      162.86757    -0.78309098
      165.28264      199.00000      165.28264    -0.77099955
      167.63409      203.00000      167.63409    -0.75891121
      169.91657      207.00000      169.91657    -0.74679042
      172.12322      211.00000      172.12322    -0.73459216
      174.24484      215.00000      174.24484    -0.72225591
      176.26830      219.00000      176.26830    -0.70969394
      178.17394      223.00000      178.17394    -0.69677426
      179.93998      227.00000      179.93998    -0.68337371
      181.59497      231.00000      181.59497    -0.66984085
      183.27703      235.00000      183.27703    -0.65738440
      185.09680      239.00000      185.09680    -0.64678335
      187.05911      243.00000      187.05911    -0.63787689
      189.14168      247.00000      189.14168    -0.63033111
      191.32785      251.00000      191.32785    -0.62390204
      193.60662      255.00000      193.60662    -0.61841861
      195.97028      259.00000      195.97028    -0.61375436
      198.41322      263.00000      198.41322    -0.60981214
      200.93136      267.00000      200.93136    -0.60651587
      203.52191      271.00000      203.52191    -0.60380648
      206.18359      275.00000      206.18359    -0.60164069
      208.91705      279.00000      208.91705    -0.59999184
      211.72544      283.00000      211.72544    -0.59885191
      214.61486      287.00000      214.61486    -0.59823249
      217.59416      291.00000      217.59416    -0.59816237
      220.67391      295.00000      220.67391    -0.59868073
      223.86496      299.00000      223.86496    -0.59982864
      227.17718      303.00000      227.17718    -0.60164271
      230.61906      307.00000      230.61906    -0.60415339
      234.19785      311.00000      234.19785    -0.60738703
      237.92015      315.00000      237.92015    -0.61136969
      241.79245      319.00000      241.79245    -0.61613090
      245.82162      323.00000      245.82162    -0.62170684
      250.01525      327.00000      250.01525    -0.62814304
      254.38195      331.00000      254.38195    -0.63549690
      258.93159      335.00000      258.93159    -0.64384047
      263.67557      339.00000      263.67557    -0.65326383
      268.62712      343.00000      268.62712    -0.66387955
      273.80174      347.00000      273.80174    -0.67582870
      279.21763      351.00000      279.21763    -0.68928932
      284.89646      355.00000      284.89646    -0.70448841
      290.86427      359.00000      290.86427    -0.72171953
      297.15281      363.00000      297.15281    -0.74136936
      303.80147      367.00000      303.80147    -0.76395906
      310.86019      371.00000      310.86019    -0.79021185
      318.39402      375.00000      318.39402    -0.82116897
      326.49069      379.00000      326.49069    -0.85840287
      335.27400      383.00000      335.27400    -0.90444374
      344.93013      387.00000      344.93013    -0.96373983
      355.76613      391.00000      355.76613     -1.0452164
      368.37054      395.00000      368.37054     -1.1712347
      384.26167      399.00000      384.26167     -1.4325246
