N   =   100
      approx:        exact:         arma:         relative error(log10)
      2.9992339      3.0000000      2.9992339     -3.5928591
      6.9961710      7.0000000      6.9961710     -3.2620173
      10.990845      11.000000      10.990845     -3.0797422
      14.988456      15.000000      14.988456     -3.1137327
      19.044147      19.000000      19.044147     -2.6338490
      23.377678      23.000000      23.377678     -1.7846058
      28.311466      27.000000      28.311466     -1.3136069
      34.021317      31.000000      34.021317     -1.0111654
      40.536037      35.000000      40.536037    -0.80086909
      47.842108      39.000000      47.842108    -0.64450878
      55.922421      43.000000      55.922421    -0.52212456
      64.761997      47.000000      64.761997    -0.42260607
      74.347580      51.000000      74.347580    -0.33932831
      84.666795      55.000000      84.666795    -0.26809206
      95.707568      59.000000      95.707568    -0.20609641
      107.45777      63.000000      107.45777    -0.15139289
      119.90500      67.000000      119.90500    -0.10257806
      133.03648      71.000000      133.03648   -0.058611178
      146.83896      75.000000      146.83896   -0.018701257
      161.29865      79.000000      161.29865    0.017765617
      176.40126      83.000000      176.40126    0.051274640
      192.13193      87.000000      192.13193    0.082215374
      208.47524      91.000000      208.47524     0.11090495
      225.41523      95.000000      225.41523     0.13760472
      242.93539      99.000000      242.93539     0.16253240
      261.01867      103.00000      261.01867     0.18587117
      279.64748      107.00000      279.64748     0.20777647
      298.80374      111.00000      298.80374     0.22838126
      318.46886      115.00000      318.46886     0.24780011
      338.62376      119.00000      338.62376     0.26613237
      359.24891      123.00000      359.24891     0.28346471
      380.32432      127.00000      380.32432     0.29987317
      401.82957      131.00000      401.82957     0.31542478
      423.74382      135.00000      423.74382     0.33017893
      446.04586      139.00000      446.04586     0.34418845
      468.71409      143.00000      468.71409     0.35750051
      491.72657      147.00000      491.72657     0.37015742
      515.06100      151.00000      515.06100     0.38219721
      538.69482      155.00000      538.69482     0.39365424
      562.60513      159.00000      562.60513     0.40455956
      586.76881      163.00000      586.76881     0.41494138
      611.16245      167.00000      611.16245     0.42482537
      635.76246      171.00000      635.76246     0.43423493
      660.54502      175.00000      660.54502     0.44319145
      685.48615      179.00000      685.48615     0.45171454
      710.56172      183.00000      710.56172     0.45982219
      735.74746      187.00000      735.74746     0.46753092
      761.01900      191.00000      761.01900     0.47485596
      786.35188      195.00000      786.35188     0.48181137
      811.72159      199.00000      811.72159     0.48841011
      837.10358      203.00000      837.10358     0.49466416
      862.47328      207.00000      862.47328     0.50058465
      887.80615      211.00000      887.80615     0.50618184
      913.07768      215.00000      913.07768     0.51146529
      938.26341      219.00000      938.26341     0.51644385
      963.33896      223.00000      963.33896     0.52112574
      988.28007      227.00000      988.28007     0.52551860
      1013.0626      231.00000      1013.0626     0.52962954
      1037.6626      235.00000      1037.6626     0.53346515
      1062.0562      239.00000      1062.0562     0.53703158
      1086.2198      243.00000      1086.2198     0.54033453
      1110.1301      247.00000      1110.1301     0.54337930
      1133.7638      251.00000      1133.7638     0.54617082
      1157.0982      255.00000      1157.0982     0.54871365
      1180.1106      259.00000      1180.1106     0.55101204
      1202.7788      263.00000      1202.7788     0.55306990
      1225.0808      267.00000      1225.0808     0.55489086
      1246.9949      271.00000      1246.9949     0.55647828
      1268.5001      275.00000      1268.5001     0.55783522
      1289.5754      279.00000      1289.5754     0.55896452
      1310.2005      283.00000      1310.2005     0.55986877
      1330.3552      287.00000      1330.3552     0.56055031
      1350.0202      291.00000      1350.0202     0.56101127
      1369.1764      295.00000      1369.1764     0.56125358
      1387.8051      299.00000      1387.8051     0.56127894
      1405.8882      303.00000      1405.8882     0.56108886
      1423.4082      307.00000      1423.4082     0.56068464
      1440.3480      311.00000      1440.3480     0.56006741
      1456.6912      315.00000      1456.6912     0.55923810
      1472.4217      319.00000      1472.4217     0.55819744
      1487.5242      323.00000      1487.5242     0.55694599
      1501.9838      327.00000      1501.9838     0.55548411
      1515.7862      331.00000      1515.7862     0.55381198
      1528.9177      335.00000      1528.9177     0.55192957
      1541.3651      339.00000      1541.3651     0.54983665
      1553.1156      343.00000      1553.1156     0.54753275
      1564.1571      347.00000      1564.1571     0.54501717
      1574.4776      351.00000      1574.4776     0.54228892
      1584.0654      355.00000      1584.0654     0.53934665
      1592.9087      359.00000      1592.9087     0.53618859
      1600.9952      363.00000      1600.9952     0.53281235
      1608.3113      367.00000      1608.3113     0.52921465
      1614.8404      371.00000      1614.8404     0.52539075
      1620.5596      375.00000      1620.5596     0.52133325
      1625.4314      379.00000      1625.4314     0.51702918
      1629.3826      383.00000      1629.3826     0.51245261
      1632.4710      387.00000      1632.4710     0.50762267
      1635.7762      391.00000      1635.7762     0.50291453
      1640.3701      395.00000      1640.3701     0.49870134
      1646.9838      399.00000      1646.9838     0.49523606
