N   =   100
      approx:        exact:         arma:         relative error(log10)
      2.9969332      3.0000000      2.9969332     -2.9904339
      6.9846485      7.0000000      6.9846485     -2.6589477
      10.962497      11.000000      10.962497     -2.4673276
      14.930442      15.000000      14.930442     -2.3337431
      18.888445      19.000000      18.888445     -2.2312655
      22.836469      23.000000      22.836469     -2.1481286
      26.774476      27.000000      26.774476     -2.0781701
      30.702425      31.000000      30.702425     -2.0177652
      34.620278      35.000000      34.620278     -1.9646024
      38.527995      39.000000      38.527995     -1.9171179
      42.425535      43.000000      42.425535     -1.8742048
      46.312857      47.000000      46.312857     -1.8350507
      50.189919      51.000000      50.189919     -1.7990419
      54.056680      55.000000      54.056680     -1.7657037
      57.913096      59.000000      57.913096     -1.7346609
      61.759124      63.000000      61.759124     -1.7056123
      65.594721      67.000000      65.594721     -1.6783122
      69.419844      71.000000      69.419844     -1.6525584
      73.234473      75.000000      73.234473     -1.6281870
      77.038741      79.000000      77.038741     -1.6050921
      80.833616      83.000000      80.833616     -1.5833426
      84.623544      87.000000      84.623544     -1.5635894
      88.423248      91.000000      88.423248     -1.5479688
      92.266748      95.000000      92.266748     -1.5410440
      96.205892      99.000000      96.205892     -1.5493920
      100.29032      103.00000      100.29032     -1.5799194
      104.54797      107.00000      104.54797     -1.6398575
      108.98443      111.00000      108.98443     -1.7409257
      113.59302      115.00000      113.59302     -1.9124089
      118.36286      119.00000      118.36286     -2.2713112
      123.28267      123.00000      123.28267     -2.6386269
      128.34190      127.00000      128.34190     -1.9760851
      133.53089      131.00000      133.53089     -1.7139977
      138.84080      135.00000      138.84080     -1.5459124
      144.26336      139.00000      144.26336     -1.4217517
      149.79079      143.00000      149.79079     -1.3234157
      155.41564      147.00000      155.41564     -1.2422302
      161.13071      151.00000      161.13071     -1.1733371
      166.92899      155.00000      166.92899     -1.1137282
      172.80359      159.00000      172.80359     -1.0614049
      178.74776      163.00000      178.74776     -1.0149689
      184.75477      167.00000      184.75477    -0.97340143
      190.81798      171.00000      190.81798    -0.93593667
      196.93078      175.00000      196.93078    -0.90198392
      203.08659      179.00000      203.08659    -0.87107777
      209.27883      183.00000      209.27883    -0.84284506
      215.50097      187.00000      215.50097    -0.81698202
      221.74646      191.00000      221.74646    -0.79323828
      228.00878      195.00000      228.00878    -0.77140515
      234.28141      199.00000      234.28141    -0.75130709
      240.55786      203.00000      240.55786    -0.73279526
      246.83160      207.00000      246.83160    -0.71574254
      253.09618      211.00000      253.09618    -0.70003981
      259.34509      215.00000      259.34509    -0.68559288
      265.57190      219.00000      265.57190    -0.67232018
      271.77014      223.00000      271.77014    -0.66015086
      277.93339      227.00000      277.93339    -0.64902325
      284.05524      231.00000      284.05524    -0.63888370
      290.12929      235.00000      290.12929    -0.62968549
      296.14916      239.00000      296.14916    -0.62138807
      302.10849      243.00000      302.10849    -0.61395641
      308.00094      247.00000      308.00094    -0.60736042
      313.82018      251.00000      313.82018    -0.60157454
      319.55989      255.00000      319.55989    -0.59657742
      325.21374      259.00000      325.21374    -0.59235162
      330.77543      263.00000      330.77543    -0.58888347
      336.23861      267.00000      336.23861    -0.58616295
      341.59691      271.00000      341.59691    -0.58418362
      346.84392      275.00000      346.84392    -0.58294268
      351.97315      279.00000      351.97315    -0.58244111
      356.97800      283.00000      356.97800    -0.58268383
      361.85173      287.00000      361.85173    -0.58368008
      366.58736      291.00000      366.58736    -0.58544383
      371.17764      295.00000      371.17764    -0.58799452
      375.61490      299.00000      375.61490    -0.59135793
      379.89093      303.00000      379.89093    -0.59556752
      383.99670      307.00000      383.99670    -0.60066628
      387.92206      311.00000      387.92206    -0.60670950
      391.65520      315.00000      391.65520    -0.61376895
      395.18175      319.00000      395.18175    -0.62193971
      398.48322      323.00000      398.48322    -0.63135212
      401.53369      327.00000      401.53369    -0.64219515
      404.29282      331.00000      404.29282    -0.65476658
      406.70927      335.00000      406.70927    -0.66946953
      408.89089      339.00000      408.89089    -0.68577913
      411.25262      343.00000      411.25262    -0.70117478
      413.99386      347.00000      413.99386    -0.71429450
      417.09044      351.00000      417.09044    -0.72516846
      420.51772      355.00000      420.51772    -0.73386955
      424.27074      359.00000      424.27074    -0.74037590
      428.35747      363.00000      428.35747    -0.74461142
      432.79652      367.00000      432.79652    -0.74646313
      437.61761      371.00000      437.61761    -0.74578483
      442.86407      375.00000      442.86407    -0.74239134
      448.59810      379.00000      448.59810    -0.73604186
      454.91072      383.00000      454.91072    -0.72640511
      461.94181      387.00000      461.94181    -0.71298679
      469.92484      391.00000      469.92484    -0.69496303
      479.31024      395.00000      479.31024    -0.67071674
      491.26277      399.00000      491.26277    -0.63594643
