N   =   50
      approx:        exact:         arma:         relative error(log10)
      9.8664839      9.8664798      9.8664839     -6.3809490
      39.428509      39.428492      39.428509     -6.3813640
      88.573935      88.573899      88.573935     -6.3820528
      157.11634      157.11627      157.11634     -6.3830195
      244.79571      244.79561      244.79571     -6.3842668
      351.27946      351.27932      351.27946     -6.3857982
      476.16366      476.16346      476.16366     -6.3876175
      618.97457      618.97431      618.97457     -6.3897302
      779.17046      779.17014      779.17046     -6.3921420
      956.14366      956.14328      956.14366     -6.3948597
      1149.2229      1149.2224      1149.2229     -6.3978912
      1357.6756      1357.6751      1357.6756     -6.4012455
      1580.7112      1580.7106      1580.7112     -6.4049324
      1817.4836      1817.4829      1817.4836     -6.4089635
      2067.0946      2067.0938      2067.0946     -6.4133513
      2328.5974      2328.5965      2328.5974     -6.4181099
      2601.0000      2600.9990      2601.0000     -6.4232552
      2883.2691      2883.2680      2883.2691     -6.4288048
      3174.3339      3174.3327      3174.3339     -6.4347784
      3473.0903      3473.0891      3473.0903     -6.4411977
      3778.4051      3778.4038      3778.4051     -6.4480873
      4089.1201      4089.1187      4089.1201     -6.4554745
      4404.0566      4404.0551      4404.0566     -6.4633898
      4722.0200      4722.0184      4722.0200     -6.4718676
      5041.8041      5041.8024      5041.8041     -6.4809464
      5362.1959      5362.1942      5362.1959     -6.4906698
      5681.9800      5681.9782      5681.9800     -6.5010869
      5999.9434      5999.9415      5999.9434     -6.5122539
      6314.8799      6314.8780      6314.8799     -6.5242344
      6625.5949      6625.5930      6625.5949     -6.5371017
      6930.9097      6930.9077      6930.9097     -6.5509401
      7229.6661      7229.6641      7229.6661     -6.5658476
      7520.7309      7520.7290      7520.7309     -6.5819382
      7803.0000      7802.9980      7803.0000     -6.5993465
      8075.4026      8075.4006      8075.4026     -6.6182316
      8336.9054      8336.9035      8336.9054     -6.6387845
      8586.5164      8586.5145      8586.5164     -6.6612363
      8823.2888      8823.2870      8823.2888     -6.6858701
      9046.3244      9046.3226      9046.3244     -6.7130382
      9254.7771      9254.7755      9254.7771     -6.7431856
      9447.8563      9447.8548      9447.8563     -6.7768859
      9624.8295      9624.8281      9624.8295     -6.8148956
      9785.0254      9785.0241      9785.0254     -6.8582407
      9927.8363      9927.8351      9927.8363     -6.9083611
      10052.721      10052.719      10052.721     -6.9673674
      10159.204      10159.203      10159.204     -7.0385346
      10246.884      10246.883      10246.884     -7.1273517
      10315.426      10315.425      10315.426     -7.2441135
      10364.571      10364.571      10364.571     -7.4119382
      10394.134      10394.133      10394.134     -7.7046056
